name,type,Longitude,Latitude,artist,photo,screenshot,description,activity,neighborhood,community,website,year,,,,,,,,,,,,,
Conundrum,Chicago Tree Project,-87.6462382,41.9641651,Gail Simpson and Aristotle Georgiades,https://www.natureregen.org/wp-content/uploads/2024/06/Conundrum.jpg,,"Bridges have many associations in the collective imagination – ideas about movement, progress, connection, and the human mark upon the landscape are often attached to bridges. They appear in literature and films, architecture and sculpture, mythology and painting. They link one thing to another, for better or worse, and a bridge seems like a poetic metaphor for the way the natural environment creates shared networks that ignore human borders. This bridge spells out two conditions: “right” and “wrong,” but it’s not clear which side is which. We would like our sculpture to visibly manifest the idea of a connection between human beings, and between humans and the environment.",Find a living tree nearby and identify it using the following link<BR> https://www.arborday.org/trees/whattree/ <BR> Find a way to ground yourself in nature <BR> https://www.treesisters.org/post/ten-ways-to-ground-yourself-in-nature,Lincoln Park - Wilson and Lake Shore Drive,The Chicago Park District strives to integrate art and nature in many ways to enhance the experience of public spaces; Chicago Sculpture International is a group of artists devoted to the understanding that sculpture is a unique and vital contribution to society.,https://www.actualsizeartworks.com/about,2017,,,,,,,,,,,,,
A'maze'ing Larvae of Emerald Ash Borer,Chicago Tree Project,-87.7023286,41.9208402,Jane Austin,https://www.natureregen.org/wp-content/uploads/2024/06/Emerald-Ash-Borer-Larvae.jpg,,At the end of the tracks it becomes apparent that many bronze larvae are creating the maze and moving up into the bark. The design of the maze was inspired by the tracks of the Emerald Ash Borer larvae that bore between the wood and the bark of the tree blocking the capillaries from drawing nutrients and water from the ground to the leaves. Between one and three million ash trees in the city of Chicago will die from this infestation.,Find a living tree nearby and identify it using the following link<BR> https://www.arborday.org/trees/whattree/ <BR> Find a way to ground yourself in nature <BR> https://www.treesisters.org/post/ten-ways-to-ground-yourself-in-nature,Logan Square,,,2017,,,,,,,,,,,,,
Nestful,Chicago Tree Project,-87.6340558,41.9166111,Janet Austin and Emily Moorhead-Wallace,https://www.natureregen.org/wp-content/uploads/2024/06/Nestful.jpg,,Artists Janet Austin and Emily Moorhead-Wallace created this tree habitat sculpture. The 100 year old oak tree is dying and has been given a new life as a vibrant work of art. 190 bird houses will provide nests for the migrating birds who come through Chicago each year.,"<a href=""https://google.com"" title=""shows on hover"">Find a living tree nearby and identify it!</a>","Lincoln Park, along Stockton Drive across from Farm-In-The-Zoo",,,2021,,,,,,,,,,,,,
Readymade,Chicago Tree Project,-87.7663985,41.9566286,Berthold Boone,https://www.natureregen.org/wp-content/uploads/2024/06/Readymade.jpg,, I have always remembered a convincing argument made by someone who had said that artists were like cats.  Here I was an artist making a sculpture in a dog park.  ,,Portage Park Dog Park,,https://www.chicagotreeproject.org/trees-2/berthold-boone/,2020,,,,,,,,,,,,,
Natura Non Confundenda Est,Chicago Tree Project,-87.6803988,41.8260837,Anthony Heinz May ,https://www.natureregen.org/wp-content/uploads/2024/06/Natura-Non-Confundenda-Est.jpg,,"An injustice to nature, this cataclysmic operation of repurposing mocks reality, transcends and eventually destroys what holds existence and life in breath. Redefining what it means to be human requires the dissolve of being through a process of self-immolation without having to physically set oneself aflame.  Within the engulfing pit of charred embers will nature continue to be questioned as relevant to being human.  Only after arteries and veins of Earth run dry and soils vamped to fissured cracks will the burning question between humans and nature be answered.",,"McKinley Park, north of soccer field",,https://www.anthonyheinzmay.com,2017,,,,,,,,,,,,,
Fishing Eagle,Chicago Tree Project,-87.574693,41.7797169,Jim Long ,https://www.natureregen.org/wp-content/uploads/2024/06/FishingEagle.jpg,,,,Jackson Park: Lake Shore Drive at 63rd Street,,,2014,,,,,,,,,,,,,
Dog Tree,Chicago Tree Project,-87.7660739,41.9565461,JR Cadawas ,https://www.natureregen.org/wp-content/uploads/2024/06/Dog-Tree.jpg,,Portage Park dog park,,Portage Park dog park,,,2017,,,,,,,,,,,,,
The Helping Hand,Chicago Tree Project,-87.706899,41.921321,Carrie Fischer ,https://www.natureregen.org/wp-content/uploads/2024/06/The-Helping-Hand.jpg,,,,Logan Square - Northwest corner of Palmer Park -at Palmer and Kedzie ,,,2018,,,,,,,,,,,,,
Recompense,Chicago Tree Project,-87.7047311,41.9213768,Steve Gaeth ,https://www.natureregen.org/wp-content/uploads/2024/06/Recompense.jpg,,,,Palmer Square Park,,,2018,,,,,,,,,,,,,
"Dying to Survive #3, #6, #9",Chicago Tree Project,-87.6268217,41.9116541,Ron Gard ,https://www.natureregen.org/wp-content/uploads/2024/06/Dying-to-Survive.jpg,,,],Lincoln Park: North Avenue and Lake Shore Drive,,,2015,,,,,,,,,,,,,
Fraxinus Raptor,Chicago Tree Project,-87.8169206,41.9980508,Tracy Ostmann Haschke,https://www.natureregen.org/wp-content/uploads/2024/06/Fraxinus-Raptor.jpg,,"Fraxinus Raptor was inspired by a bird/reptile toe. I wanted to transform my tree into something that looked completely different from its original state, causing my audience to see the whole tree as a form of art rather than a tree. Movement and bold color as well as humor were important qualities sought while working on my tree. Because the natural form was very rigid and straight plus very wide, achieving these qualities proved to be a challenge.
",,"Olympia Park, just W of path on E side of tennis court",,,2017,,,,,,,,,,,,,
Lemon Tree,Chicago Tree Project,-87.6318246,41.9139049,Irene Hoppenberg ,https://www.natureregen.org/wp-content/uploads/2024/06/Lemon-Tree.jpg,,,,Lincoln Park- 1616-1636 N. Stockton Dr.,,,2019,,,,,,,,,,,,,
Lead With the Heart,Chicago Tree Project,-87.6474,41.9735384,Kara James,https://www.natureregen.org/wp-content/uploads/2024/06/Lead-With-the-Heart.jpg,,,,"Lincoln Park - North on Simonds Drive, south of Foster Beach",,,2014,,,,,,,,,,,,,
Transformation,Chicago Tree Project,-87.5863134,41.787895,Gary Keenan,https://www.natureregen.org/wp-content/uploads/2024/06/Transformation.jpg,,,,Jackson Park - NE of the intersection at East 59th Street and S. Stony Island Boulevard,,,,,,,,,,,,,,,,
Para Z,Chicago Tree Project,-87.6355015,41.9202605,Peter Krsko,https://www.natureregen.org/wp-content/uploads/2024/06/Para-Z.jpg,,,,Lincoln Park (West side of Lincoln Park Zoo)<br>2100 block of N. Stockton Drive,,,,,,,,,,,,,,,,
Ol' Blue (Heron),Chicago Tree Project,-87.5934738,41.7984796,Jim Long ,https://www.natureregen.org/wp-content/uploads/2024/06/Ol-Blue-Heron.jpg,,,,Nichols Park,,,2015,,,,,,,,,,,,,
Howling Wolf,Chicago Tree Project,-87.5935435,41.7986436,Jim Long ,https://www.natureregen.org/wp-content/uploads/2024/06/Howling-Wolf.jpg,,,,Nichols Park,,,2015,,,,,,,,,,,,,
La Gioconda,Chicago Tree Project,-87.7683365,41.8763649,Anthony Heinz May ,https://www.natureregen.org/wp-content/uploads/2024/06/La-Gioconda.jpg,,,,"Columbus Park, on lagoon",,,,,,,,,,,,,,,,
Checkmate,Chicago Tree Project,-87.6376927,41.9391904,Margot McMahon ,https://www.natureregen.org/wp-content/uploads/2024/06/CheckMate.jpg,,,,Lincoln Park:  Lake Shore Drive and Belmont ,,,,,,,,,,,,,,,,
Flock,Chicago Tree Project,-87.7654785,41.8754048,Margot McMahon ,https://www.natureregen.org/wp-content/uploads/2024/06/Flock.jpg,,,,Columbus Park at Central and Jackson near playground,,,,,,,,,,,,,,,,
The Sound of Light on Ash,Chicago Tree Project,-87.6070634,41.7861157,Connie Noyes,https://www.natureregen.org/wp-content/uploads/2024/06/The-Sound-of-Light-on-Ash.jpg,,"The first law of thermodynamics states, energy cannot be created or destroyed, it can only change forms. With support from the Chicago Park District and Chicago Sculpture International, I transformed a tree killed by emerald ash bores with silver leaf.  Renewed, the tree now reflects its surroundings in the community. I worked on the tree over a period of about 6-weeks and fell in love with the quiet energy it emitted. I came to realize this tree will continue to provide a natural comfort for those able to hear the sounds of its roots.",,"Washington Park, near corner of E 60th and Cottage Grove",,,,,,,,,,,,,,,,
Slingshot #1,Chicago Tree Project,-87.7971946,41.9201723,Elain O'Sullivan ,https://www.natureregen.org/wp-content/uploads/2024/06/Slingshot-1.jpg,,"Slingshot’s rubber bands are expressed by two stainless steel bands connected with a copper plate. These bands have been bent and shaped to create wave patterns to simulate the rubber bands in recoil. The wind will activate and bounce the stainless-steel bands, creating a kinetic sculpture that looks just like it had shot a rock into the air. At the base of the sculpture, Newton’s Three Laws of Motion will be reproduced. The Three Laws of Motion explain the science of a working slingshot and demonstrate the forces of nature that act on all slingshots. The intent of my slingshot sculpture is to engage the viewer to ponder art and physics. It informs this dying ash tree to live again with much purpose. In 2020, the steel sling broke and was replaced by a rubber one.",,Rutherford Sayre Park,,,,,,,,,,,,,,,,
De-constructed Monument and Log Bench,Chicago Tree Project,-87.5302702,41.7180225,Christine Perri ,https://www.natureregen.org/wp-content/uploads/2024/06/De-constructed-Monument-and-Log-Bench.jpg,,,,Calumet Park fieldhouse,,,,,,,,,,,,,,,,
The Second Skin,Chicago Tree Project,-87.7171602,41.84992,Susanne Ruoff,https://www.natureregen.org/wp-content/uploads/2024/06/The-Second-Skin.jpg,,,,Shedd Park fieldhouse,,,,,,,,,,,,,,,,
Watching Tree,Chicago Tree Project,-87.7296774,41.750029,Paul Russell ,https://www.natureregen.org/wp-content/uploads/2024/06/Watching-Tree.jpg,,,,Pottawattomie Park,,,,,,,,,,,,,,,,
The Dance of the Nereids,Chicago Tree Project,-87.6381981,41.9312348,Jonathan Schork ,https://www.natureregen.org/wp-content/uploads/2024/06/Dance-of-the-Nereids-scaled.jpeg,,,,Lincoln Park - North of Peggy Notebaert Nature Center on N. Cannon Dr,,,,,,,,,,,,,,,,
Eternal Connections,Chicago Tree Project,-87.6161921,41.6917178,Phillip Shore ,https://www.natureregen.org/wp-content/uploads/2024/06/Eternal-Connections.jpg,,,,Palmer Park,,,,,,,,,,,,,,,,
Ynot,Chicago Tree Project,-87.711938,41.989562,John Bannon,https://www.natureregen.org/wp-content/uploads/2024/06/Y-Knot.jpg,,,,,,,2022,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
